City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ushuaia,AR,2022-05-25 20:42:23,-54.8,-68.3,44.22,81,40,37.98
1,Mahebourg,MU,2022-05-25 20:43:09,-20.4081,57.7,71.26,88,40,5.75
2,Yenagoa,NG,2022-05-25 20:43:38,4.9247,6.2642,75.07,93,99,3.27
3,Punta Arenas,CL,2022-05-25 20:43:38,-53.15,-70.9167,44.62,75,20,17.27
4,Nouadhibou,MR,2022-05-25 20:43:39,20.931,-17.0347,67.98,77,0,21.85
5,Balabac,PH,2022-05-25 20:43:39,7.9868,117.0645,81.27,82,100,6.46
6,Roebourne,AU,2022-05-25 20:43:40,-20.7833,117.1333,74.79,58,8,5.48
7,Tselinnoye,RU,2022-05-25 20:43:40,53.0833,85.6667,58.39,79,1,6.15
8,Portland,US,2022-05-25 20:43:00,45.5234,-122.6762,73.92,61,75,6.91
9,Lebu,CL,2022-05-25 20:43:41,-37.6167,-73.65,50.34,78,31,17.2
10,Rio Grande,BR,2022-05-25 20:43:41,-32.035,-52.0986,66.31,97,100,5.28
11,Robertson,US,2022-05-25 20:43:42,36.5167,-86.8667,76.75,83,100,13.8
12,Stokmarknes,NO,2022-05-25 20:43:42,68.5646,14.9108,49.98,81,100,13.8
13,Panama City,PA,2022-05-25 20:43:43,8.9936,-79.5197,87.75,70,40,9.22
14,Rio Gallegos,AR,2022-05-25 20:40:34,-51.6226,-69.2181,46.45,57,0,28.77
15,Vaini,TO,2022-05-25 20:43:44,-21.2,-175.2,75.36,88,40,5.75
16,Albany,US,2022-05-25 20:41:30,42.6001,-73.9662,76.44,46,99,5.35
17,Bafoulabe,ML,2022-05-25 20:43:44,13.8065,-10.8321,93.69,34,100,7.31
18,Mataura,NZ,2022-05-25 20:43:45,-46.1927,168.8643,40.48,96,24,2.19
19,Seinajoki,FI,2022-05-25 20:43:45,62.7945,22.8282,59.23,69,0,2.3
20,Chokurdakh,RU,2022-05-25 20:43:46,70.6333,147.9167,30.13,83,91,9.33
21,East London,ZA,2022-05-25 20:43:46,-33.0153,27.9116,63.97,71,5,15.93
22,Puerto Ayora,EC,2022-05-25 20:43:46,-0.7393,-90.3518,76.96,85,68,5.01
23,Bluff,NZ,2022-05-25 20:43:47,-46.6,168.3333,40.8,71,78,5.7
24,Sitka,US,2022-05-25 20:43:47,57.0531,-135.33,55.29,54,40,9.22
25,Lahat,ID,2022-05-25 20:43:20,-3.8,103.5333,71.37,96,100,3.11
26,Te Anau,NZ,2022-05-25 20:43:48,-45.4167,167.7167,35.94,91,14,1.77
